CAPACITY
"Valorisation,22.22Z Fabrication d'emballages en matieres plastiques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,22.23Z Fabrication d'emballages en matieres plastiques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,22.29A Fabrication de pieces techniques … base de matieres plastiques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,22.29B Fabrication de produits de consommation courante en matieres plastiques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,23.11Z Fabrication de verre plat,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,23.14Z Fabrication de fibre de verre,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,23.51Z Fabrication de ciment,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,23.62Z Fabrication d'elements en plƒtre pour la construction,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,23.99Z Fabrication d'autres produits mineraux non metalliques n.c.a.,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,24.42Z Metallurgie de l'aluminium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,24.44Z Metallurgie du cuivre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,24.45Z Metallurgie des autres metaux non ferreux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,24.52Z Fonderie d'acier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,42.11Z Construction de routes et autoroutes,1,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Valorisation,42.99Z Construction d'autres ouvrages de genie civil n.c.a.,1,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"reemploi et tri,82.99Z,1,1,0.05,0.01,0.01,0.01,0.05,0.05,0.05,0.001,0.001,0.01,0.01,0.01,0.05,0.001,0.001,0.001,0.001,0.05,0.05,0.005,0.01,0.001,0.1,0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
"reemploi et tri,85.59A,1,1,0.05,0.01,0.01,0.01,0.05,0.05,0.05,0.001,0.001,0.01,0.01,0.01,0.05,0.001,0.001,0.001,0.001,0.05,0.05,0.005,0.01,0.001,0.1,0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
"reemploi et tri,88.10C,1,1,0.05,0.01,0.01,0.01,0.05,0.05,0.05,0.001,0.001,0.01,0.01,0.01,0.05,0.001,0.001,0.001,0.001,0.05,0.05,0.005,0.01,0.001,0.1,0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
"reemploi et tri,88.99A,1,1,0.05,0.01,0.01,0.01,0.05,0.05,0.05,0.001,0.001,0.01,0.01,0.01,0.05,0.001,0.001,0.001,0.001,0.05,0.05,0.005,0.01,0.001,0.1,0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
"reemploi et tri,88.99B,1,1,0.05,0.01,0.01,0.01,0.05,0.05,0.05,0.001,0.001,0.01,0.01,0.01,0.05,0.001,0.001,0.001,0.001,0.05,0.05,0.005,0.01,0.001,0.1,0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
